epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,428.044,0.64168,1.31064,1.05187,0.8906,0.5625,0.68035,0.54277,1.15622,2.17157,1.56984,0.00029705,0.00029705,0.00029705
43,432.508,0.57919,1.0506,1.05071,0.89247,0.5625,0.72238,0.54131,1.11805,2.1156,1.51702,0.0002921,0.0002921,0.0002921
44,436.623,0.50603,1.01928,1.05859,0.89247,0.5625,0.72238,0.54131,1.11805,2.1156,1.51702,0.00028715,0.00028715,0.00028715
45,440.868,0.49276,1.12564,1.10679,0.89985,0.5625,0.73671,0.58102,1.06223,2.01173,1.47494,0.0002822,0.0002822,0.0002822
46,445.476,0.92378,1.12765,1.32636,0.89985,0.5625,0.73671,0.58102,1.06223,2.01173,1.47494,0.00027725,0.00027725,0.00027725
47,449.451,0.6396,0.9583,1.10065,0.90435,0.625,0.77634,0.61032,1.02754,1.92857,1.43156,0.0002723,0.0002723,0.0002723
48,452.97,0.59004,0.93749,1.10827,0.90435,0.625,0.77634,0.61032,1.02754,1.92857,1.43156,0.00026735,0.00026735,0.00026735
49,462.626,0.53969,0.99013,1.0522,0.9901,0.625,0.78265,0.63462,0.95377,1.82944,1.38918,0.0002624,0.0002624,0.0002624
50,468.431,0.3857,3.3373,0.77105,0.9901,0.625,0.78265,0.63462,0.95377,1.82944,1.38918,0.00025745,0.00025745,0.00025745
51,473.133,0.85163,1.25543,1.6191,0.99424,0.625,0.79506,0.63161,1.00402,1.89263,1.41611,0.0002525,0.0002525,0.0002525
52,477.383,0.57984,1.09039,1.0706,0.99424,0.625,0.79506,0.63161,1.00402,1.89263,1.41611,0.00024755,0.00024755,0.00024755
53,482.069,0.59871,0.96568,1.14234,0.99366,0.625,0.80514,0.64438,0.95347,1.92141,1.38858,0.0002426,0.0002426,0.0002426
54,486.494,0.48703,0.9654,1.03167,0.99366,0.625,0.80514,0.64438,0.95347,1.92141,1.38858,0.00023765,0.00023765,0.00023765
55,662.819,0.4366,0.84708,0.99094,1,0.68157,0.7915,0.64317,0.95809,1.98784,1.37096,0.0002327,0.0002327,0.0002327
56,666.854,0.52759,0.94304,1.0599,1,0.68157,0.7915,0.64317,0.95809,1.98784,1.37096,0.00022775,0.00022775,0.00022775
57,670.182,0.44342,0.9144,0.98994,1,0.67873,0.7785,0.64005,0.89731,1.9715,1.31236,0.0002228,0.0002228,0.0002228
58,673.473,0.46992,0.8879,1.00584,1,0.67873,0.7785,0.64005,0.89731,1.9715,1.31236,0.00021785,0.00021785,0.00021785
59,676.738,0.48976,1.02948,1.00425,1,0.68065,0.78418,0.64278,0.87305,1.90413,1.28909,0.0002129,0.0002129,0.0002129
60,679.998,0.46285,0.84045,0.97388,1,0.68065,0.78418,0.64278,0.87305,1.90413,1.28909,0.00020795,0.00020795,0.00020795
61,683.315,0.48305,0.98814,1.06556,1,0.69694,0.77546,0.63207,0.8122,1.8132,1.26464,0.000203,0.000203,0.000203
62,686.988,0.44203,0.89785,1.08479,1,0.69694,0.77546,0.63207,0.8122,1.8132,1.26464,0.00019805,0.00019805,0.00019805
63,691.251,0.49064,1.00491,1.07372,1,0.73668,0.76722,0.63881,0.79565,1.73229,1.25708,0.0001931,0.0001931,0.0001931
64,695.453,0.36017,0.79263,0.92393,1,0.73668,0.76722,0.63881,0.79565,1.73229,1.25708,0.00018815,0.00018815,0.00018815
65,699.768,0.54488,0.94644,1.00852,0.98009,0.75,0.78335,0.64859,0.79812,1.64306,1.2528,0.0001832,0.0001832,0.0001832
66,704.135,0.50314,0.90903,1.01176,0.98009,0.75,0.78335,0.64859,0.79812,1.64306,1.2528,0.00017825,0.00017825,0.00017825
67,708.861,0.53592,0.88522,1.05905,0.99567,0.75,0.81027,0.67708,0.81691,1.55328,1.2799,0.0001733,0.0001733,0.0001733
68,713.342,0.55196,1.03041,1.05398,0.99567,0.75,0.81027,0.67708,0.81691,1.55328,1.2799,0.00016835,0.00016835,0.00016835
69,716.67,0.33715,5.80204,0.74738,1,0.74864,0.80676,0.68392,0.78866,1.45647,1.27405,0.0001634,0.0001634,0.0001634
70,720.11,0.6496,0.95316,1.12981,1,0.74864,0.80676,0.68392,0.78866,1.45647,1.27405,0.00015845,0.00015845,0.00015845
71,729.43,0.41541,0.73386,0.98916,1,0.74725,0.80181,0.69301,0.76663,1.48841,1.2485,0.0001535,0.0001535,0.0001535
72,734.457,0.40419,0.8333,0.99323,1,0.74725,0.80181,0.69301,0.76663,1.48841,1.2485,0.00014855,0.00014855,0.00014855
73,738.831,0.43315,0.94704,1.02995,1,0.74664,0.80583,0.68567,0.78931,1.55807,1.26003,0.0001436,0.0001436,0.0001436
74,743.047,0.4384,1.67465,1.01808,1,0.74664,0.80583,0.68567,0.78931,1.55807,1.26003,0.00013865,0.00013865,0.00013865
75,747.197,0.4999,0.83462,0.9708,1,0.74532,0.79651,0.70024,0.81206,1.61797,1.27731,0.0001337,0.0001337,0.0001337
76,751.447,0.48594,0.82658,1.03795,1,0.74532,0.79651,0.70024,0.81206,1.61797,1.27731,0.00012875,0.00012875,0.00012875
77,1035.13,0.42055,0.80855,0.94696,1,0.74289,0.78374,0.68699,0.8138,1.62047,1.2895,0.0001238,0.0001238,0.0001238
78,1039.87,0.73935,1.17293,1.24605,1,0.74289,0.78374,0.68699,0.8138,1.62047,1.2895,0.00011885,0.00011885,0.00011885
79,1043.6,0.46217,1.15542,1.024,0.99434,0.6875,0.77579,0.67465,0.84902,1.64911,1.32315,0.0001139,0.0001139,0.0001139
80,1046.92,0.53858,1.2496,1.02867,0.99434,0.6875,0.77579,0.67465,0.84902,1.64911,1.32315,0.00010895,0.00010895,0.00010895
81,1050.35,0.47305,0.90737,0.98114,0.99301,0.6875,0.77971,0.66672,0.87865,1.69012,1.3522,0.000104,0.000104,0.000104
82,1053.61,0.43514,0.91419,1.02002,0.99301,0.6875,0.77971,0.66672,0.87865,1.69012,1.3522,9.905e-05,9.905e-05,9.905e-05
83,1056.95,0.50952,0.87233,0.99716,1,0.74563,0.78979,0.67934,0.85245,1.65434,1.32992,9.41e-05,9.41e-05,9.41e-05
84,1060.23,0.48039,0.82732,1.043,1,0.74563,0.78979,0.67934,0.85245,1.65434,1.32992,8.915e-05,8.915e-05,8.915e-05
85,1063.9,0.34025,0.83292,1.01466,1,0.74538,0.78801,0.6774,0.83673,1.65629,1.31599,8.42e-05,8.42e-05,8.42e-05
86,1068.04,0.35795,0.7657,0.96276,1,0.74538,0.78801,0.6774,0.83673,1.65629,1.31599,7.925e-05,7.925e-05,7.925e-05
87,1072.84,0.38326,0.80689,1.00346,1,0.74568,0.78192,0.66964,0.84361,1.65375,1.32286,7.43e-05,7.43e-05,7.43e-05
88,1077.06,0.46425,0.81498,1.00376,1,0.74568,0.78192,0.66964,0.84361,1.65375,1.32286,6.935e-05,6.935e-05,6.935e-05
89,1081.22,0.4889,0.96767,1.01669,1,0.74565,0.77922,0.66764,0.82765,1.62099,1.32083,6.44e-05,6.44e-05,6.44e-05
90,1085.34,0.57793,1.31836,1.18259,1,0.74565,0.77922,0.66764,0.82765,1.62099,1.32083,5.945e-05,5.945e-05,5.945e-05
91,1089.7,0.49715,1.56194,1.00739,1,0.7459,0.77931,0.65568,0.81414,1.59577,1.29886,5.45e-05,5.45e-05,5.45e-05
92,1094.05,0.90351,1.72981,1.6198,1,0.7459,0.77931,0.65568,0.81414,1.59577,1.29886,4.955e-05,4.955e-05,4.955e-05
93,1098.19,1.11959,2.35316,1.62801,0.99468,0.6875,0.79625,0.67914,0.84954,1.55804,1.31013,4.46e-05,4.46e-05,4.46e-05
94,1102.97,0.5084,2.08199,1.12204,0.99468,0.6875,0.79625,0.67914,0.84954,1.55804,1.31013,3.965e-05,3.965e-05,3.965e-05
95,1106.48,1.47304,3.63644,1.75037,0.99495,0.6875,0.7814,0.66252,0.82037,1.51947,1.27643,3.47e-05,3.47e-05,3.47e-05
96,1109.95,0.44671,1.29525,1.04851,0.99495,0.6875,0.7814,0.66252,0.82037,1.51947,1.27643,2.975e-05,2.975e-05,2.975e-05
97,1118.34,0.55831,1.60055,0.99178,0.9953,0.6875,0.76745,0.66439,0.85338,1.53817,1.29443,2.48e-05,2.48e-05,2.48e-05
98,1123.63,0.54625,1.27234,1.13734,0.9953,0.6875,0.76745,0.66439,0.85338,1.53817,1.29443,1.985e-05,1.985e-05,1.985e-05
99,1128.23,0.62226,1.87251,1.08194,1,0.74578,0.789,0.69123,0.84379,1.52897,1.27287,1.49e-05,1.49e-05,1.49e-05
100,1132.51,0.502,1.41307,1.12558,1,0.74578,0.789,0.69123,0.84379,1.52897,1.27287,9.95e-06,9.95e-06,9.95e-06
