epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91647,1.09025,1.87776,1.41894,0.80386,0.54167,0.62125,0.46358,1.33998,2.68956,1.62715,5e-06,5e-06,5e-06
2,18.7282,1.06842,1.75207,1.46436,0.87811,0.60096,0.65867,0.47723,1.28442,2.62269,1.58163,1.4703e-05,1.4703e-05,1.4703e-05
3,27.2771,1.05696,1.75156,1.42469,0.79877,0.66178,0.71388,0.52873,1.17945,2.48934,1.50333,2.401e-05,2.401e-05,2.401e-05
4,36.0667,1.03391,1.58771,1.38665,0.92095,0.66667,0.78628,0.57351,1.08812,2.2994,1.42694,3.2921e-05,3.2921e-05,3.2921e-05
5,44.6333,1.17015,1.64806,1.39517,0.98396,0.70833,0.816,0.6186,1.00065,2.11582,1.35719,4.1436e-05,4.1436e-05,4.1436e-05
6,53.3543,1.12737,1.67602,1.4191,0.94706,0.74567,0.84058,0.64339,0.94429,1.92755,1.34128,4.9555e-05,4.9555e-05,4.9555e-05
7,61.9426,1.06883,1.66697,1.37271,0.86814,0.82332,0.86638,0.6596,0.94852,1.79133,1.35252,5.7278e-05,5.7278e-05,5.7278e-05
8,70.0552,0.90833,1.44076,1.33711,0.8057,0.86422,0.89789,0.66673,0.96031,1.70138,1.35152,6.4605e-05,6.4605e-05,6.4605e-05
9,78.3958,1.04474,1.59596,1.38578,0.90338,0.79167,0.90595,0.67981,0.93713,1.68747,1.33688,7.1536e-05,7.1536e-05,7.1536e-05
10,86.996,0.81998,1.36282,1.24277,0.87384,0.86614,0.91123,0.68603,0.9426,1.6875,1.32944,7.8071e-05,7.8071e-05,7.8071e-05
11,95.8606,0.90907,1.36554,1.27729,0.91256,0.86996,0.91908,0.68704,0.93324,1.72415,1.30248,8.421e-05,8.421e-05,8.421e-05
12,104.632,0.85232,1.38981,1.26835,0.94609,0.83333,0.92311,0.68898,0.92788,1.71841,1.28014,8.9953e-05,8.9953e-05,8.9953e-05
13,113.496,0.9515,1.43862,1.28654,0.95404,0.86524,0.92761,0.69991,0.90915,1.61524,1.26523,9.53e-05,9.53e-05,9.53e-05
