epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,122.187,0.98731,1.37694,1.32295,0.90001,0.875,0.92832,0.70057,0.8966,1.56458,1.2629,0.000100251,0.000100251,0.000100251
15,130.867,0.86537,1.35808,1.2318,0.90448,0.875,0.93731,0.70869,0.87168,1.57556,1.25161,0.000104806,0.000104806,0.000104806
16,139.63,0.87661,1.34584,1.25849,0.91221,0.86624,0.94923,0.71698,0.85097,1.60643,1.24776,0.000108965,0.000108965,0.000108965
17,148.34,0.91048,1.32741,1.27147,0.89628,0.875,0.95225,0.74153,0.82896,1.5887,1.23114,0.000112728,0.000112728,0.000112728
18,156.958,0.90189,1.38895,1.27664,0.91987,0.95666,0.96752,0.74115,0.80143,1.5853,1.2122,0.000116095,0.000116095,0.000116095
19,165.646,0.8402,1.30494,1.20021,0.93083,0.91667,0.9783,0.76082,0.79325,1.56234,1.20318,0.000119066,0.000119066,0.000119066
20,174.319,0.81015,1.17726,1.18764,0.98052,0.91667,0.97928,0.77558,0.7774,1.54009,1.19252,0.000121641,0.000121641,0.000121641
21,182.506,0.76922,1.23706,1.2236,1,0.90459,0.96667,0.77482,0.76013,1.52549,1.17755,0.00012382,0.00012382,0.00012382
22,191.276,0.72383,1.14637,1.12345,1,0.89715,0.96365,0.778,0.73865,1.50988,1.15882,0.000125603,0.000125603,0.000125603
23,199.379,0.78001,1.14795,1.19467,0.99686,0.875,0.95703,0.78348,0.72456,1.47701,1.13934,0.00012699,0.00012699,0.00012699
24,207.585,0.74653,1.21744,1.16565,0.99114,0.875,0.95602,0.78527,0.75008,1.47046,1.14297,0.000127981,0.000127981,0.000127981
25,215.83,0.74188,1.17954,1.17262,0.95748,0.93876,0.95889,0.78569,0.73689,1.45882,1.13146,0.000128576,0.000128576,0.000128576
26,224.819,0.80136,1.2803,1.21623,1,0.8687,0.95706,0.78471,0.74618,1.43486,1.12791,0.000128775,0.000128775,0.000128775
27,233.681,0.72552,1.14709,1.14865,0.99886,0.875,0.95546,0.78895,0.70727,1.41882,1.08774,0.000128578,0.000128578,0.000128578
28,242.095,0.77343,1.30039,1.18035,0.99886,0.875,0.95546,0.78895,0.70727,1.41882,1.08774,0.000127985,0.000127985,0.000127985
29,250.225,0.7332,1.21438,1.20679,1,0.90735,0.96359,0.80751,0.62387,1.35026,1.04437,0.000126996,0.000126996,0.000126996
30,259.606,0.71292,1.07028,1.13962,0.98328,0.875,0.95298,0.79976,0.63517,1.32434,1.05268,0.000125611,0.000125611,0.000125611
31,268.839,0.68415,1.06786,1.10426,0.98328,0.875,0.95298,0.79976,0.63517,1.32434,1.05268,0.00012383,0.00012383,0.00012383
32,277.286,0.68238,1.11798,1.14346,0.95621,0.90999,0.92204,0.77993,0.67123,1.35165,1.07967,0.000121653,0.000121653,0.000121653
33,285.52,0.66615,1.12316,1.13714,1,0.86782,0.93292,0.76451,0.7205,1.40347,1.13222,0.00011908,0.00011908,0.00011908
34,294.578,0.59813,1.03327,1.04314,1,0.86782,0.93292,0.76451,0.7205,1.40347,1.13222,0.000116111,0.000116111,0.000116111
35,303.038,0.68425,1.06018,1.13798,0.95636,0.91315,0.91482,0.76693,0.76409,1.43324,1.18894,0.000112746,0.000112746,0.000112746
36,311.371,0.6336,1.0023,1.04653,0.95638,0.91358,0.91658,0.77282,0.72968,1.36677,1.16132,0.000108985,0.000108985,0.000108985
37,320.439,0.66254,1.02236,1.07669,0.95638,0.91358,0.91658,0.77282,0.72968,1.36677,1.16132,0.000104828,0.000104828,0.000104828
38,328.756,0.72996,1.08877,1.14237,0.95632,0.91244,0.93719,0.78073,0.68904,1.32311,1.1217,0.000100275,0.000100275,0.000100275
39,336.878,0.63959,1.0589,1.13054,0.99324,0.875,0.9351,0.79775,0.63649,1.29432,1.08395,9.5326e-05,9.5326e-05,9.5326e-05
40,345.013,0.6273,1.02412,1.06089,0.99324,0.875,0.9351,0.79775,0.63649,1.29432,1.08395,8.9981e-05,8.9981e-05,8.9981e-05
41,353.126,0.5487,1.49844,1.03912,0.99509,0.875,0.93379,0.81776,0.60511,1.30004,1.05919,8.424e-05,8.424e-05,8.424e-05
42,361.257,0.52447,1.45134,1.04666,0.99569,0.875,0.92826,0.80374,0.58797,1.30335,1.04099,7.8103e-05,7.8103e-05,7.8103e-05
43,369.393,0.53362,1.38052,1.06125,0.99569,0.875,0.92826,0.80374,0.58797,1.30335,1.04099,7.157e-05,7.157e-05,7.157e-05
44,378.4,0.58274,1.53254,1.07668,0.99534,0.875,0.92541,0.81173,0.58715,1.29207,1.0283,6.4641e-05,6.4641e-05,6.4641e-05
45,387.356,0.49569,1.36452,1.03729,0.99534,0.875,0.92541,0.81173,0.58715,1.29207,1.0283,5.7316e-05,5.7316e-05,5.7316e-05
46,396.447,0.47615,1.32593,0.96627,0.99511,0.875,0.91797,0.81082,0.59688,1.31323,1.02903,4.9595e-05,4.9595e-05,4.9595e-05
47,406.099,0.58862,1.39842,1.05875,0.99511,0.875,0.91797,0.81082,0.59688,1.31323,1.02903,4.1478e-05,4.1478e-05,4.1478e-05
48,415.55,0.53385,1.37847,1.03954,0.99374,0.875,0.93757,0.80776,0.62455,1.3428,1.0415,3.2965e-05,3.2965e-05,3.2965e-05
49,424.622,0.52459,1.4326,1.01781,0.99374,0.875,0.93757,0.80776,0.62455,1.3428,1.0415,2.4056e-05,2.4056e-05,2.4056e-05
50,433.804,0.51745,1.37763,0.98898,0.994,0.875,0.91226,0.80076,0.59842,1.3072,1.02117,1.4751e-05,1.4751e-05,1.4751e-05
